file,issue,val
2453AC0263FBD00C_20250415_202505 (2).WAV,bad_filename,
2453AC0263FBD00C_20250509_190500.WAV,too_short,0.0
2453AC0263FBD00C_20250509_210505.WAV,empty_file,
2453AC0263FBD00C_20250601_145013.WAV,too_short,0.0
2453AC0263FBD00C_20250614_061505.WAV,too_short,0.0
2453AC0263FBD00C_20250614_195000.WAV,empty_file,
2453AC0263FBD00C_20250614_215005.WAV,empty_file,
2453AC0263FBD00C_20250617_195000.WAV,too_short,0.0
2453AC0263FBD00C_20250617_215005.WAV,empty_file,
2453AC0263FBD00C_20250620_204301.WAV,too_short,16.040125
2453AC0263FBD00C_20250620_204320.WAV,too_short,0.0
2453AC0263FBD00C_20250630_042000.WAV,too_short,0.0
2453AC0263FBD00C_20250630_062005.WAV,empty_file,
2453AC0263FBD00C_20250630_195500.WAV,empty_file,
2453AC0263FBD00C_20250630_215505.WAV,empty_file,
2453AC0263FBD00C_20250722_213505.WAV,too_short,0.0
2453AC0263FBD00C_20250804_212005.WAV,too_short,0.0
2453AC0263FBD00C_20250820_072505.WAV,too_short,0.0
2453AC0263FBD00C_20250820_185000.WAV,empty_file,
2453AC0263FBD00C_20250820_205005.WAV,empty_file,
2453AC0263FBD00C_20250904_074505.WAV,too_short,0.0
2453AC0263FBD00C_20250904_181500.WAV,too_short,0.0
2453AC0263FBD00C_20250904_201505.WAV,too_short,0.0
