size_bytes,filename,filepath,is_empty,wav_readable,scan_status,recorder_id,start_dt,date,month,birdnet_week48,session,file_id,min_to_sunrise,min_to_sunset,solar_slot,duration_s,samplerate,channels,format,subtype,end_dt,birdnet_status,perch_status,updated_at,last_error
1382400865,2453AC0263FBD00C_20250409_181500.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_181500.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-09 18:15:00,2025-04-09,4.0,14.0,evening,2453AC0263FBD00C_20250409_181500,,-124.3,sunset_-120,7200.0,96000.0,1.0,WAV,PCM_16,2025-04-09 20:15:00.000000,pending,pending,2026-01-05 13:58:57.832267,
1381440865,2453AC0263FBD00C_20250409_201505.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_201505.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-09 20:15:05,2025-04-09,4.0,14.0,evening,2453AC0263FBD00C_20250409_201505,,-4.2,sunset_0,7195.0,96000.0,1.0,WAV,PCM_16,2025-04-09 22:15:00.000000,pending,pending,2026-01-05 13:58:57.853112,
1382400864,2453AC0263FBD00C_20250410_055500.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250410_055500.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-10 05:55:00,2025-04-10,4.0,14.0,morning,2453AC0263FBD00C_20250410_055500,-53.4,,sunrise_-60,7200.0,96000.0,1.0,WAV,PCM_16,2025-04-10 07:55:00.000000,pending,pending,2026-01-05 13:58:57.872729,
690240864,2453AC0263FBD00C_20250410_075505.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250410_075505.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-10 07:55:05,2025-04-10,4.0,14.0,morning,2453AC0263FBD00C_20250410_075505,66.7,,sunrise_60,3595.0,96000.0,1.0,WAV,PCM_16,2025-04-10 08:55:00.000000,pending,pending,2026-01-05 13:58:57.895226,
1382400865,2453AC0263FBD00C_20250410_182000.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250410_182000.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-10 18:20:00,2025-04-10,4.0,14.0,evening,2453AC0263FBD00C_20250410_182000,,-120.9,sunset_-120,7200.0,96000.0,1.0,WAV,PCM_16,2025-04-10 20:20:00.000000,pending,pending,2026-01-05 13:58:57.916199,
1381440865,2453AC0263FBD00C_20250410_202005.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250410_202005.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-10 20:20:05,2025-04-10,4.0,14.0,evening,2453AC0263FBD00C_20250410_202005,,-0.9,sunset_0,7195.0,96000.0,1.0,WAV,PCM_16,2025-04-10 22:20:00.000000,pending,pending,2026-01-05 13:58:57.938335,
1382400864,2453AC0263FBD00C_20250411_055000.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250411_055000.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-11 05:50:00,2025-04-11,4.0,14.0,morning,2453AC0263FBD00C_20250411_055000,-56.2,,sunrise_-60,7200.0,96000.0,1.0,WAV,PCM_16,2025-04-11 07:50:00.000000,pending,pending,2026-01-05 13:58:57.951710,
690240864,2453AC0263FBD00C_20250411_075005.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250411_075005.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-11 07:50:05,2025-04-11,4.0,14.0,morning,2453AC0263FBD00C_20250411_075005,63.9,,sunrise_60,3595.0,96000.0,1.0,WAV,PCM_16,2025-04-11 08:50:00.000000,pending,pending,2026-01-05 13:58:57.982298,
1382400865,2453AC0263FBD00C_20250411_182000.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250411_182000.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-11 18:20:00,2025-04-11,4.0,14.0,evening,2453AC0263FBD00C_20250411_182000,,-122.6,sunset_-120,7200.0,96000.0,1.0,WAV,PCM_16,2025-04-11 20:20:00.000000,pending,pending,2026-01-05 13:58:58.004931,
1381440865,2453AC0263FBD00C_20250411_202005.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250411_202005.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-11 20:20:05,2025-04-11,4.0,14.0,evening,2453AC0263FBD00C_20250411_202005,,-2.5,sunset_0,7195.0,96000.0,1.0,WAV,PCM_16,2025-04-11 22:20:00.000000,pending,pending,2026-01-05 13:58:58.021628,
