input,start_time,end_time,species_name,confidence
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:01:43.00","00:01:46.00","Brachyramphus marmoratus_Marbled Murrelet",0.153057
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:01:48.00","00:01:51.00","Brachyramphus marmoratus_Marbled Murrelet",0.151211
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:01:52.00","00:01:55.00","Palmeria dolei_Akohekohe",0.182511
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:01:52.00","00:01:55.00","Pseudonestor xanthophrys_Maui Parrotbill",0.160889
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:02:01.00","00:02:04.00","Palmeria dolei_Akohekohe",0.147672
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:02:23.00","00:02:26.00","Palmeria dolei_Akohekohe",0.221209
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:02:24.00","00:02:27.00","Palmeria dolei_Akohekohe",0.126294
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:02:28.00","00:02:31.00","Brachyramphus marmoratus_Marbled Murrelet",0.167674
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:02:31.00","00:02:34.00","Brachyramphus marmoratus_Marbled Murrelet",0.808931
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:02:44.00","00:02:47.00","Certhia brachydactyla_Short-toed Treecreeper",0.108911
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:02:45.00","00:02:48.00","Certhia brachydactyla_Short-toed Treecreeper",0.119771
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:02:57.00","00:03:00.00","Palmeria dolei_Akohekohe",0.112591
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:01.00","00:03:04.00","Pseudonestor xanthophrys_Maui Parrotbill",0.208928
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:04.00","00:03:07.00","Palmeria dolei_Akohekohe",0.103827
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:08.00","00:03:11.00","Palmeria dolei_Akohekohe",0.103310
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:09.00","00:03:12.00","Palmeria dolei_Akohekohe",0.147778
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:10.00","00:03:13.00","Palmeria dolei_Akohekohe",0.320964
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:15.00","00:03:18.00","Palmeria dolei_Akohekohe",0.126756
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:17.00","00:03:20.00","Pseudonestor xanthophrys_Maui Parrotbill",0.199162
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:17.00","00:03:20.00","Palmeria dolei_Akohekohe",0.136117
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:18.00","00:03:21.00","Pseudonestor xanthophrys_Maui Parrotbill",0.129517
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:19.00","00:03:22.00","Pseudonestor xanthophrys_Maui Parrotbill",0.115962
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:35.00","00:03:38.00","Myadestes occidentalis_Brown-backed Solitaire",0.456284
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:43.00","00:03:46.00","Turdus cardis_Japanese Thrush",0.106648
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:47.00","00:03:50.00","Buteo lineatus_Red-shouldered Hawk",0.222567
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:47.00","00:03:50.00","Pernis ptilorhynchus_Oriental Honey-buzzard",0.116326
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:48.00","00:03:51.00","Buteo lineatus_Red-shouldered Hawk",0.153962
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:49.00","00:03:52.00","Palmeria dolei_Akohekohe",0.658874
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:49.00","00:03:52.00","Pseudonestor xanthophrys_Maui Parrotbill",0.295318
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:50.00","00:03:53.00","Palmeria dolei_Akohekohe",0.417962
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:50.00","00:03:53.00","Pseudonestor xanthophrys_Maui Parrotbill",0.140665
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:51.00","00:03:54.00","Palmeria dolei_Akohekohe",0.286157
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:54.00","00:03:57.00","Pseudonestor xanthophrys_Maui Parrotbill",0.149969
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:54.00","00:03:57.00","Palmeria dolei_Akohekohe",0.121747
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:55.00","00:03:58.00","Palmeria dolei_Akohekohe",0.197956
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:03:55.00","00:03:58.00","Pseudonestor xanthophrys_Maui Parrotbill",0.131358
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:04:02.00","00:04:05.00","Myadestes occidentalis_Brown-backed Solitaire",0.205273
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:04:03.00","00:04:06.00","Myadestes occidentalis_Brown-backed Solitaire",0.198617
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:04:08.00","00:04:11.00","Palmeria dolei_Akohekohe",0.486099
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:04:08.00","00:04:11.00","Pseudonestor xanthophrys_Maui Parrotbill",0.167974
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:04:09.00","00:04:12.00","Palmeria dolei_Akohekohe",0.576842
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:04:10.00","00:04:13.00","Palmeria dolei_Akohekohe",0.203241
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:04:10.00","00:04:13.00","Pseudonestor xanthophrys_Maui Parrotbill",0.102081
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:04:12.00","00:04:15.00","Pseudonestor xanthophrys_Maui Parrotbill",0.179703
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:04:12.00","00:04:15.00","Palmeria dolei_Akohekohe",0.128431
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:04:17.00","00:04:20.00","Palmeria dolei_Akohekohe",0.163210
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:04:18.00","00:04:21.00","Palmeria dolei_Akohekohe",0.173371
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:04:27.00","00:04:30.00","Palmeria dolei_Akohekohe",0.286140
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:04:28.00","00:04:31.00","Palmeria dolei_Akohekohe",0.168187
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:04:34.00","00:04:37.00","Myadestes occidentalis_Brown-backed Solitaire",0.114091
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:04:44.00","00:04:47.00","Setophaga occidentalis_Hermit Warbler",0.136916
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:04:56.00","00:04:59.00","Palmeria dolei_Akohekohe",0.221501
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:04:57.00","00:05:00.00","Palmeria dolei_Akohekohe",0.161243
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:05:02.00","00:05:05.00","Palmeria dolei_Akohekohe",0.165348
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:05:03.00","00:05:06.00","Palmeria dolei_Akohekohe",0.177165
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:05:09.00","00:05:12.00","Myadestes occidentalis_Brown-backed Solitaire",0.117235
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:05:23.00","00:05:26.00","Ficedula albicollis_Collared Flycatcher",0.115130
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:05:39.00","00:05:42.00","Buteo lineatus_Red-shouldered Hawk",0.136030
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:05:46.00","00:05:49.00","Ficedula albicollis_Collared Flycatcher",0.124962
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:05:46.00","00:05:49.00","Larvivora akahige_Japanese Robin",0.100404
