input,start_time,end_time,species_name,confidence
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:12:19.00","00:12:22.00","Halcyon albiventris_Brown-hooded Kingfisher",0.190617
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:12:22.00","00:12:25.00","Halcyon albiventris_Brown-hooded Kingfisher",0.111063
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:12:24.00","00:12:27.00","Chloris chloris_European Greenfinch",0.151955
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:12:26.00","00:12:29.00","Himatione sanguinea_Apapane",0.317230
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:12:41.00","00:12:44.00","Piranga rubra_Summer Tanager",0.143675
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:12:46.00","00:12:49.00","Lullula arborea_Wood Lark",0.174362
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:12:46.00","00:12:49.00","Phylloscopus bonelli_Western Bonelli's Warbler",0.132061
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:12:46.00","00:12:49.00","Calicalicus madagascariensis_Red-tailed Vanga",0.112181
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:12:47.00","00:12:50.00","Contopus fumigatus_Smoke-colored Pewee",0.515987
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:12:47.00","00:12:50.00","Calicalicus madagascariensis_Red-tailed Vanga",0.160759
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:12:56.00","00:12:59.00","Sitta europaea_Eurasian Nuthatch",0.136961
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:12:57.00","00:13:00.00","Dendrocoptes medius_Middle Spotted Woodpecker",0.248039
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:12:57.00","00:13:00.00","Sitta europaea_Eurasian Nuthatch",0.118882
