input,start_time,end_time,species_name,confidence
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:25.00","00:00:28.00","Curruca communis_Greater Whitethroat",0.193219
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:26.00","00:00:29.00","Erithacus rubecula_European Robin",0.169319
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:30.00","00:00:33.00","Turdus philomelos_Song Thrush",0.132056
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:30.00","00:00:33.00","Palmeria dolei_Akohekohe",0.125541
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:31.00","00:00:34.00","Sitta europaea_Eurasian Nuthatch",0.137414
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:32.00","00:00:35.00","Carpodacus erythrinus_Common Rosefinch",0.278721
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:33.00","00:00:36.00","Erithacus rubecula_European Robin",0.106112
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:33.00","00:00:36.00","Scolopax rusticola_Eurasian Woodcock",0.104673
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:34.00","00:00:37.00","Erithacus rubecula_European Robin",0.129138
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:34.00","00:00:37.00","Scolopax rusticola_Eurasian Woodcock",0.124430
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:35.00","00:00:38.00","Scolopax rusticola_Eurasian Woodcock",0.124397
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:36.00","00:00:39.00","Erithacus rubecula_European Robin",0.122224
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:39.00","00:00:42.00","Turdus philomelos_Song Thrush",0.146774
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:41.00","00:00:44.00","Erithacus rubecula_European Robin",0.104447
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:42.00","00:00:45.00","Erithacus rubecula_European Robin",0.146474
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:43.00","00:00:46.00","Erithacus rubecula_European Robin",0.443112
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:43.00","00:00:46.00","Scolopax rusticola_Eurasian Woodcock",0.231879
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:44.00","00:00:47.00","Scolopax rusticola_Eurasian Woodcock",0.453301
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:44.00","00:00:47.00","Erithacus rubecula_European Robin",0.237253
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:44.00","00:00:47.00","Turdus philomelos_Song Thrush",0.101571
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:46.00","00:00:49.00","Brachyramphus marmoratus_Marbled Murrelet",0.148132
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:47.00","00:00:50.00","Spinus spinus_Eurasian Siskin",0.109492
